t,i,m,c,value
1845,CHN,Ni,concentrate,1.0
1845,CHN,Ni,refined_metal,1.0
1845,CHN,Ni,scrap,1.0
1845,CHN,Sn,concentrate,1.0
1845,CHN,Sn,refined_metal,1.0
1845,CHN,Sn,scrap,1.0
1845,CHN,Zn,concentrate,1.0
1845,CHN,Zn,refined_metal,1.0
1845,CHN,Zn,scrap,1.0
1845,EU27,Ni,concentrate,1.0
1845,EU27,Ni,refined_metal,1.0
1845,EU27,Ni,scrap,1.0
1845,EU27,Sn,concentrate,1.0
1845,EU27,Sn,refined_metal,1.0
1845,EU27,Sn,scrap,1.0
1845,EU27,Zn,concentrate,1.0
1845,EU27,Zn,refined_metal,1.0
1845,EU27,Zn,scrap,1.0
1845,ROW,Ni,concentrate,1.0
1845,ROW,Ni,refined_metal,1.0
1845,ROW,Ni,scrap,1.0
